Product,Table ID,2024 Variable,2023 Variable,Change,2024 Label,2023 Label,Notes,,,,,,,,,,,
Data Profile,DP02,DP02_0001E,DP02_0001E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households,Estimate!!HOUSEHOLDS BY TYPE!!Total households,,,,,,,,,,,,
Data Profile,DP02,DP02_0002E,DP02_0002E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,,,,,,,,,,,,
Data Profile,DP02,DP02_0003E,DP02_0003E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0004E,DP02_0004E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,,,,,,,,,,,,
Data Profile,DP02,DP02_0005E,DP02_0005E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0006E,DP02_0006E,No Change,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",,,,,,,,,,,,
Data Profile,DP02,DP02_0007E,DP02_0007E,No Change,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",,,,,,,,,,,,
Data Profile,DP02,DP02_0008E,DP02_0008E,No Change,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",,,,,,,,,,,,
Data Profile,DP02,DP02_0009E,DP02_0009E,No Change,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",,,,,,,,,,,,
Data Profile,DP02,DP02_0010E,DP02_0010E,No Change,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",,,,,,,,,,,,
Data Profile,DP02,DP02_0011E,DP02_0011E,No Change,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",,,,,,,,,,,,
Data Profile,DP02,DP02_0012E,DP02_0012E,No Change,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",,,,,,,,,,,,
Data Profile,DP02,DP02_0013E,DP02_0013E,No Change,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",,,,,,,,,,,,
Data Profile,DP02,DP02_0014E,DP02_0014E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0015E,DP02_0015E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,,,,,,,,,,,,
Data Profile,DP02,DP02_0016E,DP02_0016E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,,,,,,,,,,,,
Data Profile,DP02,DP02_0017E,DP02_0017E,No Change,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,,,,,,,,,,,,
Data Profile,DP02,DP02_0018E,DP02_0018E,No Change,Estimate!!RELATIONSHIP!!Population in households,Estimate!!RELATIONSHIP!!Population in households,,,,,,,,,,,,
Data Profile,DP02,DP02_0019E,DP02_0019E,No Change,Estimate!!RELATIONSHIP!!Population in households!!Householder,Estimate!!RELATIONSHIP!!Population in households!!Householder,,,,,,,,,,,,
Data Profile,DP02,DP02_0020E,DP02_0020E,No Change,Estimate!!RELATIONSHIP!!Population in households!!Spouse,Estimate!!RELATIONSHIP!!Population in households!!Spouse,,,,,,,,,,,,
Data Profile,DP02,DP02_0021E,DP02_0021E,No Change,Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,,,,,,,,,,,,
Data Profile,DP02,DP02_0022E,DP02_0022E,No Change,Estimate!!RELATIONSHIP!!Population in households!!Child,Estimate!!RELATIONSHIP!!Population in households!!Child,,,,,,,,,,,,
Data Profile,DP02,DP02_0023E,DP02_0023E,No Change,Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Estimate!!RELATIONSHIP!!Population in households!!Other relatives,,,,,,,,,,,,
Data Profile,DP02,DP02_0024E,DP02_0024E,No Change,Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,,,,,,,,,,,,
Data Profile,DP02,DP02_0025E,DP02_0025E,No Change,Estimate!!MARITAL STATUS!!Males 15 years and over,Estimate!!MARITAL STATUS!!Males 15 years and over,,,,,,,,,,,,
Data Profile,DP02,DP02_0026E,DP02_0026E,No Change,Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,,,,,,,,,,,,
Data Profile,DP02,DP02_0027E,DP02_0027E,No Change,"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated","Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",,,,,,,,,,,,
Data Profile,DP02,DP02_0028E,DP02_0028E,No Change,Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,,,,,,,,,,,,
Data Profile,DP02,DP02_0029E,DP02_0029E,No Change,Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,,,,,,,,,,,,
Data Profile,DP02,DP02_0030E,DP02_0030E,No Change,Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,,,,,,,,,,,,
Data Profile,DP02,DP02_0031E,DP02_0031E,No Change,Estimate!!MARITAL STATUS!!Females 15 years and over,Estimate!!MARITAL STATUS!!Females 15 years and over,,,,,,,,,,,,
Data Profile,DP02,DP02_0032E,DP02_0032E,No Change,Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,,,,,,,,,,,,
Data Profile,DP02,DP02_0033E,DP02_0033E,No Change,"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated","Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",,,,,,,,,,,,
Data Profile,DP02,DP02_0034E,DP02_0034E,No Change,Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,,,,,,,,,,,,
Data Profile,DP02,DP02_0035E,DP02_0035E,No Change,Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,,,,,,,,,,,,
Data Profile,DP02,DP02_0036E,DP02_0036E,No Change,Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,,,,,,,,,,,,
Data Profile,DP02,DP02_0037E,DP02_0037E,No Change,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,,,,,,,,,,,,
Data Profile,DP02,DP02_0038E,DP02_0038E,No Change,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",,,,,,,,,,,,
Data Profile,DP02,DP02_0039E,DP02_0039E,No Change,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",,,,,,,,,,,,
Data Profile,DP02,DP02_0040E,DP02_0040E,No Change,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",,,,,,,,,,,,
Data Profile,DP02,DP02_0041E,DP02_0041E,No Change,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",,,,,,,,,,,,
Data Profile,DP02,DP02_0042E,DP02_0042E,No Change,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",,,,,,,,,,,,
Data Profile,DP02,DP02_0043E,DP02_0043E,No Change,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",,,,,,,,,,,,
Data Profile,DP02,DP02_0044E,DP02_0044E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0045E,DP02_0045E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,,,,,,,,,,,,
Data Profile,DP02,DP02_0046E,DP02_0046E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,,,,,,,,,,,,
Data Profile,DP02,DP02_0047E,DP02_0047E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0048E,DP02_0048E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0049E,DP02_0049E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,,,,,,,,,,,,
Data Profile,DP02,DP02_0050E,DP02_0050E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0051E,DP02_0051E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,,,,,,,,,,,,
Data Profile,DP02,DP02_0052E,DP02_0052E,No Change,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,,,,,,,,,,,,
Data Profile,DP02,DP02_0053E,DP02_0053E,No Change,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,,,,,,,,,,,,
Data Profile,DP02,DP02_0054E,DP02_0054E,No Change,"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool","Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",,,,,,,,,,,,
Data Profile,DP02,DP02_0055E,DP02_0055E,No Change,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,,,,,,,,,,,,
Data Profile,DP02,DP02_0056E,DP02_0056E,No Change,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),,,,,,,,,,,,
Data Profile,DP02,DP02_0057E,DP02_0057E,No Change,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),,,,,,,,,,,,
Data Profile,DP02,DP02_0058E,DP02_0058E,No Change,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,,,,,,,,,,,,
Data Profile,DP02,DP02_0059E,DP02_0059E,No Change,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,,,,,,,,,,,,
Data Profile,DP02,DP02_0060E,DP02_0060E,No Change,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,,,,,,,,,,,,
Data Profile,DP02,DP02_0061E,DP02_0061E,No Change,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",,,,,,,,,,,,
Data Profile,DP02,DP02_0062E,DP02_0062E,No Change,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),,,,,,,,,,,,
Data Profile,DP02,DP02_0063E,DP02_0063E,No Change,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",,,,,,,,,,,,
Data Profile,DP02,DP02_0064E,DP02_0064E,No Change,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,,,,,,,,,,,,
Data Profile,DP02,DP02_0065E,DP02_0065E,No Change,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,,,,,,,,,,,,
Data Profile,DP02,DP02_0066E,DP02_0066E,No Change,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,,,,,,,,,,,,
Data Profile,DP02,DP02_0067E,DP02_0067E,No Change,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,,,,,,,,,,,,
Data Profile,DP02,DP02_0068E,DP02_0068E,No Change,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,,,,,,,,,,,,
Data Profile,DP02,DP02_0069E,DP02_0069E,No Change,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,,,,,,,,,,,,
Data Profile,DP02,DP02_0070E,DP02_0070E,No Change,Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,,,,,,,,,,,,
Data Profile,DP02,DP02_0071E,DP02_0071E,No Change,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,,,,,,,,,,,,
Data Profile,DP02,DP02_0072E,DP02_0072E,No Change,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,,,,,,,,,,,,
Data Profile,DP02,DP02_0073E,DP02_0073E,No Change,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0074E,DP02_0074E,No Change,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,,,,,,,,,,,,
Data Profile,DP02,DP02_0075E,DP02_0075E,No Change,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,,,,,,,,,,,,
Data Profile,DP02,DP02_0076E,DP02_0076E,No Change,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,,,,,,,,,,,,
Data Profile,DP02,DP02_0077E,DP02_0077E,No Change,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,,,,,,,,,,,,
Data Profile,DP02,DP02_0078E,DP02_0078E,No Change,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,,,,,,,,,,,,
Data Profile,DP02,DP02_0079E,DP02_0079E,No Change,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,,,,,,,,,,,,
