StateFIPS	CountyFIPS_3	CountyName	StateName	
01	001	Autauga	Alabama	
01	003	Baldwin	Alabama	
01	005	Barbour	Alabama	
01	007	Bibb	Alabama	
01	009	Blount	Alabama	
01	011	Bullock	Alabama	
01	013	Butler	Alabama	
01	015	Calhoun	Alabama	
01	017	Chambers	Alabama	
01	019	Cherokee	Alabama	
01	021	Chilton	Alabama	
01	023	Choctaw	Alabama	
01	025	Clarke	Alabama	
01	027	Clay	Alabama	
01	029	Cleburne	Alabama	
01	031	Coffee	Alabama	
01	033	Colbert	Alabama	
01	035	Conecuh	Alabama	
01	037	Coosa	Alabama	
01	039	Covington	Alabama	
01	041	Crenshaw	Alabama	
01	043	Cullman	Alabama	
01	045	Dale	Alabama	
01	047	Dallas	Alabama	
01	049	DeKalb	Alabama	
01	051	Elmore	Alabama	
01	053	Escambia	Alabama	
01	055	Etowah	Alabama	
01	057	Fayette	Alabama	
01	059	Franklin	Alabama	
01	061	Geneva	Alabama	
01	063	Greene	Alabama	
01	065	Hale	Alabama	
01	067	Henry	Alabama	
01	069	Houston	Alabama	
01	071	Jackson	Alabama	
01	073	Jefferson	Alabama	
01	075	Lamar	Alabama	
01	077	Lauderdale	Alabama	
01	079	Lawrence	Alabama	
01	081	Lee	Alabama	
01	083	Limestone	Alabama	
01	085	Lowndes	Alabama	
01	087	Macon	Alabama	
01	089	Madison	Alabama	
01	091	Marengo	Alabama	
01	093	Marion	Alabama	
01	095	Marshall	Alabama	
01	097	Mobile	Alabama	
01	099	Monroe	Alabama	
01	101	Montgomery	Alabama	
01	103	Morgan	Alabama	
01	105	Perry	Alabama	
01	107	Pickens	Alabama	
01	109	Pike	Alabama	
01	111	Randolph	Alabama	
01	113	Russell	Alabama	
01	115	St. Clair	Alabama	
01	117	Shelby	Alabama	
01	119	Sumter	Alabama	
01	121	Talladega	Alabama	
01	123	Tallapoosa	Alabama	
01	125	Tuscaloosa	Alabama	
01	127	Walker	Alabama	
01	129	Washington	Alabama	
01	131	Wilcox	Alabama	
01	133	Winston	Alabama	
02	013	Aleutians East Borough	Alaska	
02	016	Aleutians West Census Area	Alaska	
02	020	Anchorage Municipality	Alaska	
02	050	Bethel Census Area	Alaska	
02	060	Bristol Bay Borough	Alaska	
02	063	Chugach Census Area	Alaska	
02	066	Copper River Census Area	Alaska	
02	068	Denali Borough	Alaska	
02	070	Dillingham Census Area	Alaska	
02	090	Fairbanks North Star Borough	Alaska	
02	100	Haines Borough	Alaska	
02	105	Hoonah-Angoon Census Area	Alaska	
02	110	Juneau City and Borough	Alaska	
02	122	Kenai Peninsula Borough	Alaska	
02	130	Ketchikan Gateway Borough	Alaska	
02	150	Kodiak Island Borough	Alaska	
02	158	Kusilvak Census Area	Alaska	
02	164	Lake and Peninsula Borough	Alaska	
02	170	Matanuska-Susitna Borough	Alaska	
02	180	Nome Census Area	Alaska	
02	185	North Slope Borough	Alaska	
02	188	Northwest Arctic Borough	Alaska	
02	195	Petersburg Borough	Alaska	
02	198	Prince of Wales-Hyder Census Area	Alaska	
02	220	Sitka City and Borough	Alaska	
02	230	Skagway Municipality	Alaska	
02	240	Southeast Fairbanks Census Area	Alaska	
02	275	Wrangell City and Borough	Alaska	
02	282	Yakutat City and Borough	Alaska	
02	290	Yukon-Koyukuk Census Area	Alaska	
04	001	Apache	Arizona	
04	003	Cochise	Arizona	
04	005	Coconino	Arizona	
04	007	Gila	Arizona	
04	009	Graham	Arizona	
04	011	Greenlee	Arizona	
04	012	La Paz	Arizona	
04	013	Maricopa	Arizona	
04	015	Mohave	Arizona	
04	017	Navajo	Arizona	
04	019	Pima	Arizona	
04	021	Pinal	Arizona	
04	023	Santa Cruz	Arizona	
04	025	Yavapai	Arizona	
04	027	Yuma	Arizona	
05	001	Arkansas	Arkansas	
05	003	Ashley	Arkansas	
05	005	Baxter	Arkansas	
05	007	Benton	Arkansas	
05	009	Boone	Arkansas	
05	011	Bradley	Arkansas	
